DEBUG:root:num batches:200, batch_size:250, epochs:200
DEBUG:root:Training Conv VAE Model:
DEBUG:root:Iteration: 13200, Training:  Loss 19488, batch_log_lik -77 Validation: Loss 21872, batch_log_lik -86 *
DEBUG:root:Iteration: 13400, Training:  Loss 19383, batch_log_lik -76 Validation: Loss 21843, batch_log_lik -86 *
DEBUG:root:Iteration: 13600, Training:  Loss 19413, batch_log_lik -76 Validation: Loss 21805, batch_log_lik -86 *
DEBUG:root:Iteration: 13800, Training:  Loss 19355, batch_log_lik -76 Validation: Loss 21826, batch_log_lik -86 
DEBUG:root:Iteration: 14000, Training:  Loss 19329, batch_log_lik -76 Validation: Loss 21779, batch_log_lik -86 *
DEBUG:root:Iteration: 14200, Training:  Loss 19322, batch_log_lik -76 Validation: Loss 21753, batch_log_lik -86 *
DEBUG:root:Iteration: 14400, Training:  Loss 20399, batch_log_lik -80 Validation: Loss 22163, batch_log_lik -87 
DEBUG:root:Iteration: 14600, Training:  Loss 19370, batch_log_lik -76 Validation: Loss 21674, batch_log_lik -85 *
DEBUG:root:Iteration: 14800, Training:  Loss 19366, batch_log_lik -76 Validation: Loss 21659, batch_log_lik -85 *
DEBUG:root:Iteration: 15000, Training:  Loss 19195, batch_log_lik -75 Validation: Loss 21577, batch_log_lik -85 *
DEBUG:root:Iteration: 15200, Training:  Loss 19159, batch_log_lik -75 Validation: Loss 21570, batch_log_lik -85 *
DEBUG:root:Iteration: 15400, Training:  Loss 19112, batch_log_lik -75 Validation: Loss 21585, batch_log_lik -85 
DEBUG:root:Iteration: 15600, Training:  Loss 19085, batch_log_lik -75 Validation: Loss 21492, batch_log_lik -85 *
DEBUG:root:Iteration: 15800, Training:  Loss 19070, batch_log_lik -75 Validation: Loss 21479, batch_log_lik -85 *
DEBUG:root:Iteration: 16000, Training:  Loss 19118, batch_log_lik -75 Validation: Loss 21489, batch_log_lik -85 
DEBUG:root:Iteration: 16200, Training:  Loss 19012, batch_log_lik -75 Validation: Loss 21466, batch_log_lik -85 *
DEBUG:root:Iteration: 16400, Training:  Loss 19027, batch_log_lik -75 Validation: Loss 21430, batch_log_lik -85 *
DEBUG:root:Iteration: 16600, Training:  Loss 18973, batch_log_lik -75 Validation: Loss 21461, batch_log_lik -85 
DEBUG:root:Iteration: 16800, Training:  Loss 18943, batch_log_lik -75 Validation: Loss 21409, batch_log_lik -84 *
DEBUG:root:Iteration: 17000, Training:  Loss 19028, batch_log_lik -75 Validation: Loss 21439, batch_log_lik -85 
DEBUG:root:Iteration: 17200, Training:  Loss 18988, batch_log_lik -75 Validation: Loss 21350, batch_log_lik -84 *
DEBUG:root:Iteration: 17400, Training:  Loss 18932, batch_log_lik -74 Validation: Loss 21385, batch_log_lik -84 
DEBUG:root:Iteration: 17600, Training:  Loss 19024, batch_log_lik -75 Validation: Loss 21445, batch_log_lik -85 
DEBUG:root:Iteration: 17800, Training:  Loss 18899, batch_log_lik -74 Validation: Loss 21247, batch_log_lik -84 *
DEBUG:root:Iteration: 18000, Training:  Loss 19090, batch_log_lik -75 Validation: Loss 21385, batch_log_lik -84 
DEBUG:root:Iteration: 18200, Training:  Loss 18816, batch_log_lik -74 Validation: Loss 21329, batch_log_lik -84 
DEBUG:root:Iteration: 18400, Training:  Loss 18784, batch_log_lik -74 Validation: Loss 21259, batch_log_lik -84 
DEBUG:root:Iteration: 18600, Training:  Loss 18659, batch_log_lik -73 Validation: Loss 21173, batch_log_lik -84 *
DEBUG:root:Iteration: 18800, Training:  Loss 18736, batch_log_lik -74 Validation: Loss 21175, batch_log_lik -84 
DEBUG:root:Iteration: 19000, Training:  Loss 18756, batch_log_lik -74 Validation: Loss 21150, batch_log_lik -83 *
DEBUG:root:Iteration: 19200, Training:  Loss 18654, batch_log_lik -73 Validation: Loss 21121, batch_log_lik -83 *
DEBUG:root:Iteration: 19400, Training:  Loss 18673, batch_log_lik -74 Validation: Loss 21106, batch_log_lik -83 *
DEBUG:root:Iteration: 19600, Training:  Loss 18623, batch_log_lik -73 Validation: Loss 21130, batch_log_lik -83 
DEBUG:root:Iteration: 19800, Training:  Loss 18671, batch_log_lik -74 Validation: Loss 21150, batch_log_lik -83 
DEBUG:root:Iteration: 20000, Training:  Loss 18619, batch_log_lik -73 Validation: Loss 21179, batch_log_lik -84 
DEBUG:root:Iteration: 20200, Training:  Loss 18606, batch_log_lik -73 Validation: Loss 21110, batch_log_lik -83 
DEBUG:root:Iteration: 20400, Training:  Loss 18613, batch_log_lik -73 Validation: Loss 21152, batch_log_lik -84 
DEBUG:root:No improvement found in a while, stopping optimization.
DEBUG:root:Time usage: 0:35:59
DEBUG:root:Test Loss:20821.92822265625, Log_lik:-82.65440807342529
