DEBUG:root:idx_keep count:443
DEBUG:root:x_l:(100, 443), y_l:(100, 10), x_u:(49900, 443), y_(49900, 10)
DEBUG:root:num batches:250.0, batch_size:200,  num_lab_batch 100, num_ulab_batch:100, epochs:1200
DEBUG:root:labeled + unlabeled loss
DEBUG:root:Training Auxiliary VAE:
DEBUG:root:Iteration: 8201, Training Loss: -599620 Acc:1.0 marg_lik: -5018773.0  Validation Acc:0.6709 marg_lik: -50470687.06 , *
DEBUG:root:Iteration: 8301, Training Loss: -1998887 Acc:1.0 marg_lik: -17474020.0  Validation Acc:0.6725 marg_lik: -132005513.98 , *
DEBUG:root:Iteration: 8401, Training Loss: -1409962 Acc:1.0 marg_lik: -20932750.0  Validation Acc:0.6671 marg_lik: -145242387.1 , 
DEBUG:root:Iteration: 8501, Training Loss: -793655 Acc:1.0 marg_lik: -7101882.0  Validation Acc:0.6586 marg_lik: -42572023.82 , 
DEBUG:root:Iteration: 8601, Training Loss: -1189877 Acc:1.0 marg_lik: -57480180.0  Validation Acc:0.6716 marg_lik: -96386825.75 , 
DEBUG:root:Iteration: 8701, Training Loss: -1448445 Acc:1.0 marg_lik: -26911460.0  Validation Acc:0.6665 marg_lik: -38963334.08 , 
DEBUG:root:Iteration: 8801, Training Loss: -1663520 Acc:1.0 marg_lik: -3808166.5  Validation Acc:0.6631 marg_lik: -142365068.02 , 
DEBUG:root:Iteration: 8901, Training Loss: -2514803 Acc:1.0 marg_lik: -118041192.0  Validation Acc:0.656 marg_lik: -193430996.17 , 
DEBUG:root:Iteration: 9001, Training Loss: 484703 Acc:1.0 marg_lik: -3867973.75  Validation Acc:0.6537 marg_lik: -40107901.16 , 
DEBUG:root:Iteration: 9101, Training Loss: -479909 Acc:1.0 marg_lik: -20248942.0  Validation Acc:0.6585 marg_lik: -42272795.2 , 
DEBUG:root:Iteration: 9201, Training Loss: -2717507 Acc:1.0 marg_lik: -91677640.0  Validation Acc:0.6486 marg_lik: -62716738.98 , 
DEBUG:root:Iteration: 9301, Training Loss: -2353668 Acc:1.0 marg_lik: -7288840.5  Validation Acc:0.6493 marg_lik: -64369926.28 , 
DEBUG:root:Iteration: 9401, Training Loss: -2712387 Acc:1.0 marg_lik: -15497248.0  Validation Acc:0.6537 marg_lik: -33342833.96 , 
DEBUG:root:Iteration: 9501, Training Loss: -1554811 Acc:1.0 marg_lik: -8312484.0  Validation Acc:0.6522 marg_lik: -52558969.0 , 
DEBUG:root:Iteration: 9601, Training Loss: -1473831 Acc:1.0 marg_lik: -15512485.0  Validation Acc:0.645 marg_lik: -32119010.22 , 
DEBUG:root:Iteration: 9701, Training Loss: -281993 Acc:1.0 marg_lik: -45099140.0  Validation Acc:0.6478 marg_lik: -61701552.48 , 
DEBUG:root:Iteration: 9801, Training Loss: -2130241 Acc:1.0 marg_lik: -29285104.0  Validation Acc:0.637 marg_lik: -68286576.36 , 
DEBUG:root:Iteration: 9901, Training Loss: -1892501 Acc:1.0 marg_lik: -18186510.0  Validation Acc:0.6386 marg_lik: -83282334.76 , 
DEBUG:root:Iteration: 10001, Training Loss: 1615402 Acc:1.0 marg_lik: -208695.359375  Validation Acc:0.6348 marg_lik: -72592904.28 , 
DEBUG:root:Iteration: 10101, Training Loss: -1117356 Acc:1.0 marg_lik: -8710551.0  Validation Acc:0.6306 marg_lik: -84861402.54 , 
DEBUG:root:Iteration: 10201, Training Loss: -111454 Acc:1.0 marg_lik: -1806846.0  Validation Acc:0.6337 marg_lik: -47842836.58 , 
DEBUG:root:Iteration: 10301, Training Loss: -1850513 Acc:1.0 marg_lik: -16685240.0  Validation Acc:0.6314 marg_lik: -68030570.66 , 
DEBUG:root:Iteration: 10401, Training Loss: -1238620 Acc:1.0 marg_lik: -67816912.0  Validation Acc:0.6245 marg_lik: -42868749.85 , 
DEBUG:root:Iteration: 10501, Training Loss: -496158 Acc:1.0 marg_lik: -51496092.0  Validation Acc:0.6118 marg_lik: -113652294.88 , 
DEBUG:root:Iteration: 10601, Training Loss: -1074272 Acc:1.0 marg_lik: -2116956.75  Validation Acc:0.6111 marg_lik: -84697428.86 , 
DEBUG:root:Iteration: 10701, Training Loss: 490403 Acc:1.0 marg_lik: -19915926.0  Validation Acc:0.6131 marg_lik: -24218152.16 , 
DEBUG:root:Iteration: 10801, Training Loss: -1685469 Acc:1.0 marg_lik: -18399702.0  Validation Acc:0.6038 marg_lik: -45134450.98 , 
DEBUG:root:Iteration: 10901, Training Loss: -472338 Acc:1.0 marg_lik: -46291252.0  Validation Acc:0.595 marg_lik: -61110871.48 , 
DEBUG:root:Iteration: 11001, Training Loss: -2768847 Acc:1.0 marg_lik: 418011.5  Validation Acc:0.5931 marg_lik: -95949842.88 , 
DEBUG:root:Iteration: 11101, Training Loss: -1821540 Acc:1.0 marg_lik: -64629508.0  Validation Acc:0.5889 marg_lik: -162012103.64 , 
DEBUG:root:Iteration: 11201, Training Loss: -1044044 Acc:1.0 marg_lik: -716859.4375  Validation Acc:0.5851 marg_lik: -58242162.82 , 
DEBUG:root:Iteration: 11301, Training Loss: -2164458 Acc:1.0 marg_lik: -123025552.0  Validation Acc:0.5717 marg_lik: -708436461.72 , 
DEBUG:root:Iteration: 11401, Training Loss: -1252725 Acc:1.0 marg_lik: -20138754.0  Validation Acc:0.5607 marg_lik: -63916436.38 , 
DEBUG:root:Iteration: 11501, Training Loss: -1976621 Acc:1.0 marg_lik: -3423734.0  Validation Acc:0.5595 marg_lik: -205563186.56 , 
DEBUG:root:Iteration: 11601, Training Loss: -2331081 Acc:1.0 marg_lik: -56679628.0  Validation Acc:0.5445 marg_lik: -76864952.02 , 
DEBUG:root:Iteration: 11701, Training Loss: -2614157 Acc:1.0 marg_lik: -138213104.0  Validation Acc:0.5357 marg_lik: -526531079.6 , 
DEBUG:root:Iteration: 11801, Training Loss: -1463702 Acc:1.0 marg_lik: 154387.5625  Validation Acc:0.5304 marg_lik: -35130604.12 , 
DEBUG:root:Iteration: 11901, Training Loss: -1948395 Acc:1.0 marg_lik: -6855242.0  Validation Acc:0.5209 marg_lik: -1117577974.44 , 
DEBUG:root:Iteration: 12001, Training Loss: 475857 Acc:1.0 marg_lik: -66717944.0  Validation Acc:0.5133 marg_lik: -73118038.42 , 
DEBUG:root:Iteration: 12101, Training Loss: -1005394 Acc:1.0 marg_lik: -35023380.0  Validation Acc:0.4983 marg_lik: -133406470.26 , 
DEBUG:root:Iteration: 12201, Training Loss: -1943142 Acc:1.0 marg_lik: -55700324.0  Validation Acc:0.4895 marg_lik: -78699441.9 , 
DEBUG:root:Iteration: 12301, Training Loss: -1901968 Acc:0.96 marg_lik: -19338732.0  Validation Acc:0.4784 marg_lik: -101998559.12 , 
DEBUG:root:Iteration: 12401, Training Loss: -2064595 Acc:0.95 marg_lik: -73421752.0  Validation Acc:0.4668 marg_lik: -68689483.96 , 
